entity,url,accessible,content_valid,content_length,has_error_indicator,status_code,status_name,cloudflare_protected,error,redirect_url,column
UNGC,https://unglobalcompact.org/,True,True,20680.0,False,200.0,OK,False,,,entity_link
UNGEGN,https://unstats.un.org/unsd/ungegn,True,True,43395.0,False,200.0,OK,False,,,entity_link
UNGGIM,https://ggim.un.org/,True,True,48676.0,False,200.0,OK,False,,,entity_link
UNGSC Brindisi,https://www.ungsc.org/brindisi,True,True,52600.0,False,200.0,OK,False,,,entity_link
UNHCR,https://www.unhcr.org/,False,False,0.0,,403.0,Forbidden,False,,,entity_link
UNICEF,https://www.unicef.org/,False,False,0.0,,403.0,Forbidden,True,Cloudflare protected (403),,entity_link
UNICEF EB,https://www.unicef.org/executiveboard/,False,False,0.0,,403.0,Forbidden,True,Cloudflare protected (403),,entity_link
UNICRI,https://unicri.org/,False,False,,,,,False,"Connection error: HTTPSConnectionPool(host='unicri.org', port=443): Max retries exceeded with url: / (Caused by SSLErr",,entity_link
UNIDIR,https://www.unidir.org/,True,True,227295.0,False,200.0,OK,False,,https://unidir.org:443,entity_link
UNIDO,https://www.unido.org/,True,True,18056.0,False,200.0,OK,False,,,entity_link
UNIFIL,https://unifil.unmissions.org/,True,True,52988.0,False,200.0,OK,False,,,entity_link
UNISFA,https://unisfa.unmissions.org/,True,True,223350.0,False,200.0,OK,False,,,entity_link
UNITAR,https://unitar.org/,True,True,251727.0,False,200.0,OK,False,,,entity_link
UNJSPB,https://www.unjspf.org/governance/,True,True,41994.0,False,200.0,OK,False,,,entity_link
UNMHA,https://dppa.un.org/en/mission/unmha-hudaydah-agreement,True,True,47703.0,False,200.0,OK,False,,,entity_link
UNMIK,https://unmik.unmissions.org/,True,True,60628.0,False,200.0,OK,False,,,entity_link
UNMISS,https://unmiss.unmissions.org/,True,True,233365.0,False,200.0,OK,False,,,entity_link
UNMOGIP,https://unmogip.unmissions.org/,True,True,219837.0,False,200.0,OK,False,,,entity_link
UNOAU,https://unoau.unmissions.org/,True,True,221947.0,False,200.0,OK,False,,,entity_link
UNOCA,https://unoca.unmissions.org/,True,True,228856.0,False,200.0,OK,False,,,entity_link
UNODC,https://www.unodc.org/,True,True,52692.0,False,200.0,OK,False,,,entity_link
UNOG,https://www.ungeneva.org/,True,True,55141.0,False,200.0,OK,False,,https://www.ungeneva.org/en,entity_link
UNOMS,https://www.un.org/ombudsman/,True,True,49211.0,False,200.0,OK,False,,,entity_link
UNON,https://www.unon.org/,True,True,42699.0,False,200.0,OK,False,,,entity_link
UNOP,https://unpartnerships.un.org/,False,False,0.0,,403.0,Forbidden,False,,,entity_link
UNOPS,https://www.unops.org/,True,True,247396.0,False,200.0,OK,False,,,entity_link
UNOSSC,https://unsouthsouth.org/,False,False,0.0,,403.0,Forbidden,False,,,entity_link
UNOV,https://www.unvienna.org/,True,True,36490.0,False,200.0,OK,False,,,entity_link
UNOWAS,https://unowas.unmissions.org/,True,True,227651.0,False,200.0,OK,False,,,entity_link
UNPC,https://www.un.org/peacebuilding/commission,True,True,56342.0,False,200.0,OK,False,,,entity_link
UNPFII,https://social.desa.un.org/issues/indigenous-peoples/unpfii,True,True,93305.0,False,200.0,OK,False,,,entity_link
UNRCCA,https://unrcca.unmissions.org/,True,True,230237.0,False,200.0,OK,False,,,entity_link
UNRGID,https://dppa.un.org/en/mission/unrgid,True,True,40228.0,False,200.0,OK,False,,,entity_link
UNRISD,https://www.unrisd.org/,True,True,997.0,False,200.0,OK,False,,,entity_link
UNRWA,https://www.unrwa.org/,False,False,0.0,,403.0,Forbidden,True,Cloudflare protected (403),,entity_link
UNRoD,http://unrod.org/,True,True,18878.0,False,200.0,OK,False,,,entity_link
UNSCO,https://unsco.unmissions.org/,True,True,214557.0,False,200.0,OK,False,,,entity_link
UNSCOL,https://unscol.unmissions.org/,True,True,215544.0,False,200.0,OK,False,,,entity_link
UNSMIL,https://unsmil.unmissions.org/,True,True,241894.0,False,200.0,OK,False,,,entity_link
UNSOM,https://unsom.unmissions.org/,True,True,205877.0,False,200.0,OK,False,,,entity_link
UNSOS,https://unsos.unmissions.org/,True,True,58023.0,False,200.0,OK,False,,,entity_link
UNSSC,https://www.unssc.org/,True,True,152008.0,False,200.0,OK,False,,,entity_link
UNSU,,False,False,,,,,False,Invalid or placeholder URL,,entity_link
UNTMIS,https://dppa.un.org/en/mission/untmis,True,True,40739.0,False,200.0,OK,False,,,entity_link
UNTSO,https://untso.unmissions.org/,True,True,52996.0,False,200.0,OK,False,,,entity_link
UNU,https://unu.edu/,True,True,60895.0,False,200.0,OK,False,,,entity_link
UNU Council,https://unu.edu/about/unu-council,True,True,54276.0,False,200.0,OK,False,,,entity_link
UNV,https://www.unv.org/,False,False,0.0,,403.0,Forbidden,False,,,entity_link
UNVMC,https://colombia.unmissions.org/,True,True,227754.0,False,200.0,OK,False,,,entity_link
UPU,https://www.upu.int/,True,True,113766.0,False,200.0,OK,False,,https://www.upu.int/en/home,entity_link
WFP,https://www.wfp.org/,True,True,82753.0,False,200.0,OK,False,,,entity_link
WFP EB,https://executiveboard.wfp.org/,True,True,47531.0,False,200.0,OK,False,,,entity_link
WHO,https://www.who.int/,True,True,126770.0,False,200.0,OK,False,,,entity_link
WIPO,https://www.wipo.int/,True,True,69905.0,False,200.0,OK,False,,https://www.wipo.int/portal/en/index.html,entity_link
WMO,https://public.wmo.int/,True,True,155366.0,False,200.0,OK,False,,https://wmo.int,entity_link
WORLD BANK GROUP,https://www.worldbank.org/,True,True,44022.0,False,200.0,OK,False,,https://www.worldbank.org/ext/en/home,entity_link
WTO,https://www.wto.org/,True,True,43851.0,False,200.0,OK,False,,,entity_link
Working Groups,,False,False,,,,,False,Invalid or placeholder URL,,entity_link
